,使用者ID,是否匿名,留言時間,是否隱藏,訂單編號,給星,留言內容,商品規格
83,10991758.0,1.0,1559878657.0,0.0,1387644848.0,5.0,很好穿很舒服,"['藍XL', '灰XL', '黑XL', '紫XL', '粉XL']"
84,81407065.0,1.0,1559807274.0,0.0,1391224891.0,5.0,很好穿喔…,"['黑XL', '紫XL']"
85,97831881.0,1.0,1558655783.0,0.0,1302751030.0,5.0,,"['藍M', '黑XL', '黑M']"
86,9614400.0,1.0,1558463508.0,0.0,1292850692.0,5.0,,"['灰M', '黑M']"
87,36854670.0,1.0,1558450920.0,0.0,1333459708.0,5.0,,['黑M']
88,51045899.0,1.0,1557837601.0,0.0,1261744892.0,5.0,,"['藍M', '灰M', '黑M']"
89,97831881.0,1.0,1557621130.0,0.0,1283493188.0,5.0,,"['灰M', '紫M']"
90,15497172.0,1.0,1557362658.0,0.0,1285712728.0,5.0,,['黑L']
91,4481574.0,1.0,1557155341.0,0.0,1265674657.0,5.0,,['紫XL']
92,16559929.0,1.0,1556964067.0,0.0,1271385345.0,5.0,,"['灰M', '黑M']"
93,332546.0,1.0,1556789202.0,0.0,1263869857.0,5.0,,['黑L']
94,32404263.0,1.0,1556200741.0,0.0,1241179646.0,5.0,,"['藍L', '灰XL', '灰L', '黑L', '紫XL']"
95,2200055.0,1.0,1556107285.0,0.0,1226027738.0,4.0,,['黑M']
96,8463826.0,1.0,1555585252.0,0.0,1222557650.0,5.0,,"['紫M', '粉M']"
97,7035860.0,1.0,1554477675.0,0.0,1191593435.0,5.0,,"['藍M', '灰M', '黑M', '紫M']"
98,2821972.0,1.0,1554461840.0,0.0,1195995966.0,5.0,,"['藍M', '灰M', '黑M']"
99,27962993.0,1.0,1554256734.0,0.0,1164167109.0,5.0,,"['藍XL', '灰XL', '黑XL', '紫XL']"
0,11633984.0,1.0,1585436282.0,0.0,38873808484217.0,5.0,,['黑色5XL']
1,8776543.0,1.0,1585063139.0,0.0,38501964028602.0,5.0,賣家服務貼心，有問必答，交貨速度不在話下，推薦大家多跟賣家購買商品。,['黑色5XL']
2,18557056.0,1.0,1584551356.0,0.0,38026754899264.0,5.0,,['黑色XL']
3,14837000.0,1.0,1584459821.0,0.0,37559061695187.0,5.0,,['黑色4XL']
4,190606474.0,1.0,1584453850.0,0.0,35981707409611.0,5.0,,['黑色4XL']
5,12359510.0,1.0,1584424390.0,0.0,37579453427591.0,5.0,,['黑色4XL']
6,214970526.0,1.0,1584274251.0,0.0,37616885899597.0,5.0,,['黑色XL']
7,38770907.0,1.0,1584164404.0,0.0,37630013254712.0,5.0,,['黑色S']
8,65345603.0,1.0,1584090845.0,0.0,36235495529564.0,5.0,,['黑色L']
9,30805039.0,1.0,1584019012.0,0.0,37453643250603.0,5.0,,['黑色L']
10,105013804.0,1.0,1583904851.0,0.0,37008631148564.0,4.0,,['黑色5XL']
11,47947163.0,1.0,1583150493.0,0.0,36218894836799.0,5.0,,['黑色L']
12,167693574.0,1.0,1583110208.0,0.0,36404601862195.0,5.0,,['黑色S']
13,227495405.0,1.0,1583029714.0,0.0,35911196539841.0,4.0,,"['黑色5XL', '黑色3XL', '黑色2XL']"
14,22244398.0,1.0,1582962506.0,0.0,36164044217975.0,4.0,,['黑色2XL']
15,9902055.0,1.0,1582919010.0,0.0,36063156064567.0,5.0,,['黑色L']
16,47141419.0,1.0,1582768201.0,0.0,35792961356977.0,5.0,,['黑色XL']
17,74326195.0,1.0,1582763520.0,0.0,35041679393900.0,5.0,,['黑色2XL']
18,36867232.0,1.0,1582674805.0,0.0,36035942998943.0,5.0,,['黑色2XL']
19,3004569.0,1.0,1582672862.0,0.0,35904196419213.0,5.0,,"['黑色3XL', '黑色2XL', '黑色XL']"
20,1422649.0,1.0,1582643161.0,0.0,35976756997840.0,5.0,,['黑色L']
21,28422162.0,1.0,1582640526.0,0.0,36067252701727.0,5.0,出貨很快！便宜又好穿！,['黑色S']
22,65345603.0,1.0,1582536323.0,0.0,35739288674131.0,5.0,,['黑色L']
23,5102862.0,1.0,1582485529.0,0.0,35817303981171.0,5.0,,['黑色5XL']
24,6468651.0,1.0,1582377064.0,0.0,35217543720882.0,5.0,,"['黑色3XL', '黑色2XL']"
25,52293663.0,1.0,1582346597.0,0.0,34699992352295.0,5.0,同款直接便宜90元！^n材質又好！,['黑色S']
26,5455679.0,1.0,1581777029.0,0.0,35221073446935.0,5.0,,['黑色S']
27,9722709.0,1.0,1581736569.0,0.0,35236964962862.0,5.0,,['黑色4XL']
28,2367098.0,1.0,1581696330.0,0.0,35086362214724.0,5.0,,['黑色4XL']
29,36859950.0,1.0,1581679622.0,0.0,35031462867913.0,5.0,物超所值👍,['黑色M']
30,11633984.0,1.0,1581640885.0,0.0,35102518108623.0,5.0,,['黑色5XL']
31,21151481.0,1.0,1580988999.0,0.0,34491738447844.0,5.0,,['黑色M']
32,5396301.0,1.0,1580919256.0,0.0,34354631952569.0,5.0,,['黑色5XL']
33,12208647.0,1.0,1580830307.0,0.0,34240387485640.0,5.0,,['黑色M']
34,2632815.0,1.0,1580733526.0,0.0,34165358006632.0,5.0,,['黑色L']
35,4609969.0,1.0,1580540224.0,0.0,33415137615993.0,5.0,,['黑色2XL']
36,127362785.0,1.0,1580536221.0,0.0,33649019810495.0,5.0,,['黑色M']
37,2954948.0,1.0,1580514905.0,0.0,33920933701691.0,5.0,,"['黑色4XL', '黑色3XL']"
38,100451477.0,1.0,1580318452.0,0.0,33725899060678.0,5.0,,['黑色L']
39,72598691.0,1.0,1580055769.0,0.0,31981802102287.0,5.0,衣服穿著上很舒適，而且內部拉鏈處有做隔離，避免直接接觸皮膚，很貼心。此外，運動的時候也不會太晃。^n不過我有點買大了，建議跟我一樣的小姐姐買小一號（罩杯：75D）^n最後，泡水洗的時候出現比較多染劑的顏色。不過我是不介意啦，不影響。,['黑色XL']
40,4159770.0,1.0,1579487510.0,0.0,32773111633500.0,4.0,,['黑色2XL']
41,83518703.0,1.0,1579428153.0,0.0,32849922137659.0,5.0,,['黑色M']
42,5534290.0,1.0,1578755797.0,0.0,32156583603701.0,5.0,,"['黑色XL', '黑色M']"
43,83518703.0,1.0,1578702728.0,0.0,32033575410901.0,5.0,,['黑色M']
44,4187216.0,1.0,1578660018.0,0.0,31999424236354.0,5.0,,['黑色M']
45,121153252.0,1.0,1578576762.0,0.0,32079917827550.0,5.0,,['黑色M']
46,49959288.0,1.0,1578464822.0,0.0,31998958885451.0,5.0,,['黑色4XL']
47,134409057.0,1.0,1578394882.0,0.0,31742370809314.0,3.0,,['黑色2XL']
48,172117437.0,1.0,1578311464.0,0.0,31540684357273.0,4.0,,['黑色2XL']
49,8984054.0,1.0,1578304910.0,0.0,31818951006384.0,5.0,,['黑色5XL']
50,9023581.0,1.0,1577808564.0,0.0,31207825481332.0,5.0,,['黑色XL']
51,5623897.0,1.0,1577622871.0,0.0,30721091205473.0,5.0,,['黑色S']
52,158882235.0,1.0,1577609571.0,0.0,30948599197475.0,5.0,,['黑色M']
53,163104814.0,1.0,1577369785.0,0.0,30806972388193.0,5.0,,['黑色L']
54,2380235.0,1.0,1577303702.0,0.0,30488767606096.0,5.0,,['黑色4XL']
55,168488443.0,1.0,1576991155.0,0.0,30514193464114.0,5.0,,['黑色3XL']
56,80293542.0,1.0,1576973694.0,0.0,2292113002.0,5.0,,['黑色L']
57,9041503.0,1.0,1576944270.0,0.0,2334369505.0,5.0,,['黑色3XL']
58,31591615.0,1.0,1576941829.0,0.0,2349735057.0,4.0,,['黑色3XL']
59,57746107.0,1.0,1576928071.0,0.0,2277552022.0,5.0,尚品包覆性，能活動自如,['黑色S']
60,45250118.0,1.0,1576836332.0,0.0,2340710934.0,5.0,,['黑色XL']
61,206639273.0,1.0,1576735129.0,0.0,2338778048.0,5.0,,['黑色XL']
62,3173884.0,1.0,1576651004.0,0.0,2254753087.0,5.0,,['黑色S']
63,2898513.0,1.0,1576579196.0,1.0,2317047197.0,5.0,很便宜好穿大推大推大推大推大推大推大推大推大推大推大推大推大推,['黑色M']
64,26948258.0,1.0,1576427011.0,0.0,2298725329.0,5.0,,['黑色M']
65,8982015.0,1.0,1576303390.0,0.0,2278956128.0,5.0,,['黑色5XL']
66,11108882.0,1.0,1575992291.0,0.0,2256825951.0,5.0,,['黑色S']
67,172117437.0,1.0,1575906714.0,0.0,2224087956.0,2.0,,['黑色M']
68,46340357.0,1.0,1575901010.0,0.0,2252626335.0,5.0,,['黑色5XL']
69,155623708.0,1.0,1575639471.0,0.0,2237812008.0,5.0,出貨速度快，品質也都很OK，高CP值， 值得二次回購的店家呦~^n第二次回購了，好穿，舒適，沒壓迫感，睡覺穿也舒服~,['黑色4XL']
70,14305842.0,1.0,1575443713.0,0.0,2187598147.0,4.0,,['黑色4XL']
71,3490135.0,1.0,1575220803.0,0.0,2225615003.0,5.0,,['黑色S']
72,5989712.0,1.0,1575211517.0,0.0,2203665001.0,5.0,,['黑色5XL']
73,7209006.0,1.0,1575021027.0,0.0,2200422666.0,5.0,,['黑色M']
74,155623708.0,1.0,1574902943.0,0.0,2199483287.0,5.0,出貨速度快，商品收到也跟照片一樣，質感不錯，好穿的話，會再回購。,"['黑色5XL', '黑色4XL']"
75,2541493.0,1.0,1574849830.0,0.0,2177445731.0,5.0,,['黑色5XL']
76,24348618.0,1.0,1574174201.0,0.0,2146991152.0,5.0,,['黑色3XL']
77,16927350.0,1.0,1574065053.0,0.0,2152494766.0,5.0,,['黑色5XL']
78,4270754.0,1.0,1573641708.0,0.0,2132530866.0,5.0,,['黑色5XL']
79,123244201.0,1.0,1573576278.0,0.0,2113671002.0,5.0,,['黑色S']
80,19010076.0,1.0,1573252897.0,0.0,2068942508.0,5.0,,['黑色M']
81,39381065.0,1.0,1573056265.0,0.0,2059568562.0,5.0,舒適度很高，穿脫也方便，下水味道就不會重了，材質好穿，耐操的感覺，可以帶,['黑色L']
82,5396867.0,1.0,1572596156.0,0.0,1998508576.0,5.0,,['黑色5XL']
83,18347107.0,1.0,1572260380.0,0.0,2000631954.0,5.0,,['黑色L']
84,3117771.0,1.0,1571903765.0,0.0,1991464867.0,5.0,,['黑色L']
85,122253641.0,1.0,1571562765.0,0.0,1869801669.0,5.0,,['黑色2XL']
86,52186040.0,1.0,1570956186.0,0.0,1875884717.0,5.0,好穿又好脫，運動完的時候感受真的很明顯，CP值超高，謝謝老闆。,['黑色M']
87,4796623.0,1.0,1570889599.0,0.0,1901057248.0,5.0,,['黑色2XL']
88,2205694.0,1.0,1570887544.0,0.0,1938661922.0,5.0,,['黑色M']
89,83438887.0,1.0,1570738834.0,0.0,1868897820.0,5.0,,['黑色M']
90,20653767.0,1.0,1570689132.0,0.0,1909643738.0,5.0,,['黑色S']
91,48640197.0,1.0,1570289583.0,0.0,1880979455.0,5.0,"商品包裝十分完整, 出貨快速, 客服回應很快,感謝. 貨品尺寸齊全,值得推薦給健身的好朋友.",['黑色2XL']
